word,definition
قُدْسٌ,"[ق د س]. ; 1.""يَعِيشُ فِي قُدْسٍ"" : فيِ طُهْرٍ وَبَرَكَةٍ، فِي قَدَاسَةٍ. ; 2.""قُدْسُ الأَبِ"" : لَقَبُ رَجُلِ الدِّينِ عِنْدَ الْمَسِيحِيِّينَ بِمَعْنَى حَضْرَةِ الأَبِ. ; 3.""قُدْسُ الأَقْدَاسِ"" : عِنْدَ اليَهُودِ هُوَ مَكَانٌ مِنَ الْهَيْكَلِ كَانَ يَدْخُلُهُ عَظِيمُ الأَحْبَارِ عِنْدَهُمْ مَرَّةً فِي السَّنَةِ. ; 4.""لِيَجْعَلَ لَهُ مَكَاناً فِي حَظِيرَةِ القُدْسِ"" : الْجَنَّةُ. ; 5.""مَدِينَةُ القُدْسِ"" : بَيْتُ الْمَقْدِسِ عَاصِمَةُ دَوْلَةِ فِلِسْطِينَ."
قُنْدُسٌ,(حيوان). : حَيَوانٌ مِنْ فَصيلَةِ القُنْدُسِيَّاتِ مِنَ القَوارِضِ الْمَائِيَّةِ، لَهُ ذَنَبٌ قَوِيٌّ مُفَلطَحٌ، وَغِشاءٌ بَيْنَ أَصابِعِ رِجْلَيْهِ يَسْتَعِين بِهِ عَلَى السَّباحَةِ، مِن حَيَواناتِ أُورُوبّا وأَمْرِيكَا الشَّمالِيَّةِ.
أَبَازٌ,(حيوان).: مِنْ فَصِيلَةِ القَنْغَرِ، مِنْ رُتْبَةِ الثَّدْيِيَّاتِ الكِيسِيَّةِ، وَهُوَ مِن حَيَوَانَاتِ أُسْتُرَالْيَا، لأِنْثَاهُ كِيسٌ فِي سَطْحِ بَطْنِهَا تَحْمِلُ فِيهِ صِغَارَها وَيُسَمَّى أيْضًا القَنْقَرُ.
آبُنُوس، آبِنُوس,(نبات).: شَجَرٌ مِنْ فَصِيلَةِ الآبنُوسِيَّاتِ، يَنْبُتُفِي الحَبَشَةِ وَالهِنْدِ، خَشَبُهُ ثَمِينٌ أسْوَدُ، صُلْبُ العُودِ ثَقِيلٌ، تُصْنَعُ مِنْهُ بَعْضُ الأثَاثِ.
مُصْطَكَى,(نبات).: شَجَرٌ مِنْ فَصِيلَةِ البَطْمِيَّاتِ، قَرِيبٌ مِنَ البَطْمِ، بَرِّيُّ، تُسْتَخْرَجُ مِنْهُ مَادَّةٌ صَمْغِيَّةٌ لَزِجَةٌ، وَهُوَ نَوْعَانِ: أَبْيَضُ نَاعِمٌ، طَيِّبُ الرَّائِحَةِ، وَأَسْوَدُ مَائِلٌ إِلَى الحُمْرَةِ، يَكْثُرُ في سَوَاحِلِ الشَّامِ.
دَخْنٌ,(نبات).: نَبَاتٌ عُشْبِيٌّ مِنْ فَصِيلَةِ النَّجِيلِيَّاتِ، أنْوَاعُهُ عَدِيدَةٌ، بَرِّيَّةٌ وَزِرَاعِيَّةٌ، حَبُّهُ صَغِيرٌ أمْلَسُ يُشْبِهُ حَبَّ السِّمْسِمِ، يُعَدُّ مِنَ النَّبَاتَاتِ الطَّيِّبَةِ.
سِبْتمبَر,: الشَّهْرُ التَّاسِعُ مِنَ الشُّهُورِ الغَرْبِيَّةِ، عَدَدُ أيَّامِهِ (30) يَوْماً وَهُوَ مَا يُقَابِلُ شَهْرَ أيْلُول.
أُورثُوذُكْس,: أتْبَاعُ الكَنِيسَةِ الأورثوذُكْسِيَّةِ.
هَلاَّ,": كَلِمَةٌ مُرَكَّبَةٌ مِنْ ""هَلْ"" وَ ""لاَ""، تَكُونُ: ; 1. لِلتَّحْضِيضِ عِنْدَ دُخُولِهَا عَلَى الْفِعْلِ الْمُضَارِعِ فَتَدُلُّ عَلَى الْحَثِّ وَالْحَضِّ عَلَى الْعَمَلِ: ""هَلاَّ تُقَاوِمُ"". ; 2. لِلَّوْمِ عِنْدَ دُخُولِهَا عَلَى الْفِعْلِ الْمَاضِي فَتَدُلُّ عَلَى اللَّوْمِ لِتَرْكِ فِعْلِ عَمَلٍ مَّا : ""هَلاَّ اجْتَهَدْتَ""، ""هَلاَّ سَعَيْتَ لِفِعْلِ الْخَيْرِ""."
آجَرَ,"[أ ج ر]. (فعل: رباعي متعد بحرف). آجَرْتُ، أُؤَاجِرُ، آجرْ، مصدر إِيجَارٌ. ; 1.""آجَرَهُ البَيْتَ"" : أكْرَاهُ إيَّاهُ. ; 2.""آجَرَ مِنْهُ الدَّارَ"" : اِكْتَرَاهَا مِنْهُ. ; 3.""آجَرَهُ عَلَى أعْمَالِهِ الحَسَنَةِ"" : كَافَأهُ وَأثَابَهُ عَلَيْهَا."
اِبْتَأسَ,"[ب أ س ]. (فعل: خماسي لازم، متعد بحرف). اِبْتَأسْتُ، أَبْتَئِسُ، مصدر اِبْتِآسٌ. ""اِبْتَأَسَ الْمَظْلُومُ"" : حَزِنَ، اِغْتَمَّ، اِكْتَأَبَ، حَزِنَ. ; هود آية 36فَلاَ تَبْتَئِسْ بِمَا كَانُوا يَعْمَلُون (قرآن) وَقَدْ ظَنَّ أَنِّي ابْتَأَسْتُ لِكَلاَمِهِ""."
اِنْبِثاثٌ,"[ب ث ث]. (مصدر اِنْبَثَّ). ; 1.""اِنْبِثاثُ الغُبارِ"" : اِنْتِشارُهُ. ; 2.""اِنْبِثاثُ النُّورِ"" : إِشْعاعُهُ."
