word,definition
آ,"آ [كلمة وظيفيَّة]: حرف نداء للبعيد أو ما هو في حُكْمه كالنائم والغافل ""آعليٌّ أتسمعني؟""."
آب,آب [مفرد]: الشّهر الثّامن من شهور السَّنة الشَّمسيَّة، يأتي بعد تمُّوز ويليه أيلول ويقابله أغسطس من شهور السّنة الميلاديَّة، وهو أحد شهور فصل الصّيف. ; • الآبُ: (دن) الأُقْنُوم أو الأصل الأوَّل من الثَّالوث الأقدس عند النصارى وهو الآبُ والابن والرُّوح القدس.
آب,"آبَ/ آبَ إلى يَئوب، أُبْ، أوْبًا وأوْبَةً وإيابًا، فهو آيب، والمفعول مئوب إليه ; • آب الشَّخصُ: رجع وعاد ""آب من الرِّحلة/ السَّفر/ عمله"". ; • آب إلى الله: ; 1- تاب ورجع عن معصيته. ; 2- رجع إلى الله بعد موته ""{إِنَّ إِلَيْنَا إِيَابَهُمْ}""."
آب,"آبٍ [مفرد]: ج آبُون وأُباة: ; 1- اسم فاعل من أبَى/ أبَى على/ أبَى عن/ أبَى من. ; 2- معتزّ بنفسه ""كم هو شجاعٌ آبٍ""."
آبنوس,آبَنُوسُ/ آبُنُوسُ/ آبِنُوسُ [جمع]: (نت) أبنوس، شجر مثمر من الفصيلة الآبنوسيّة، أوراقه كأوراق الصنوبر، وثمره كالعنب، وخشبه أسود صلب، ينبت في البلدان الحارّة كالحبشة والهند، ويُصنع منه بعض الأدوات والأواني والأثاث.
آبنوسية,آبنوسيَّة [مفرد]: ; 1- اسم مؤنَّث منسوب إلى آبَنُوسُ/ آبُنُوسُ/ آبِنُوسُ. ; 2- (كم) مادّة صُلبة سوداء، غير موصِّلة للكهرباء، تنتج من خلط الكبريت بالمطَّاط النَّقيّ.
آت,"آتٍ [مفرد]: ; 1- اسم فاعل من أتَى/ أتَى بـ/ أتَى على. ; 2- مُقْبِل ""كلّ آتٍ قريب [مثل أجنبيّ]: يماثله في المعنى المثل العربيّ: فما لابدَّ أن يأتي قريب ولكن الذي يمضي بعيد- {إِنَّ مَا تُوعَدُونَ لَآتٍ}"" ; الأجيال الآتية: أجيال الأبناء والأحفاد- الأشخاص الآتية أسماؤهم: المذكورة أسماؤهم بعد- على الوجه الآتي/ كالآتي: كما يتبع."
آتى,"آتى1 يُؤتي، آتِ، إيتاءً، فهو مُؤْتٍ، والمفعول مُؤْتًى ; • آتى فلانًا الشَّيءَ: أتى به إليه؛ جاء به إليه ""{قَالَ لِفَتَاهُ ءَاتِنَا غَدَاءَنَا}"". ; • آتى الطَّالبَ سؤلَه: أعطاه إيّاه ""آتاه الربُّ قوةً- {وَءَاتَى الْمَالَ عَلَى حُبِّهِ ذَوِي الْقُرْبَى وَالْيَتَامَى وَالْمَسَاكِينَ}"". ; • آتى الزَّكاةَ: أدَّاها ""{وَأَقَامَ الصَّلاَةَ وَءَاتَى الزَّكَاةَ وَلَمْ يَخْشَ إلاَّ اللهَ}"". ; • آتى الثَّمرُ أُكُلَه: أثمر واستوى ""آتت المزرعةُ أكلَها في آخر الموسم محصولاً وفيرًا- {فَآتَتْ أُكُلَهَا ضِعْفَيْنِ}"". ; • آتى الشَّيءَ إليه: ساقه إليه."
آتى,"آتى2 يؤاتي، آتِ، مُؤاتاةً، فهو مُؤاتٍ، والمفعول مُؤاتًى ; • آتاه على الأمر: وافقه، جاراه، طاوعه ""آتَتْه الفرصةُ: سنحت له- فلان كريم المؤاتاة جميل المواساة""."
آثر,"آثرَ يُؤثر، إيثارًا، فهو مُؤثِر، والمفعول مُؤثَر ; • آثر الشَّيءَ: فَضَّله واختاره ""آثر البقاءَ بجوار والديه- {بَلْ تُؤْثِرُونَ الْحَيَاةَ الدُّنْيَا}"". ; • آثره بسِرِّه: اختصّه به. ; • آثره على نفسه: قدَّمه واختصَّه بالخير ""{وَيُؤْثِرُونَ عَلَى أَنْفُسِهِمْ وَلَوْ كَانَ بِهِمْ خَصَاصَةٌ}""."
آثم,"آثِم [مفرد]: ج آثِمون وأَثَمة: اسم فاعل من أثِمَ: ""{إِنَّا إِذًا لَمِنَ الآثِمِينَ}""."
آجر,"آجرَ1 يُؤجر، إيجارًا، فهو مُؤجِر، والمفعول مُؤْجَر ; • آجر البيتَ من جاره: انتفع به مقابل أُجْرة معيّنة. ; • آجر الرَّجلَ على عمله: كافأه عليه وأثابه ""يؤجر الله الصادقين المتصدّقين أجرًا حسنًا""."
آجر,"آجرَ2 يؤاجر، مُؤاجرةً، فهو مُؤاجِر، والمفعول مُؤاجَر ; • آجر العاملَ: اتّخذه عاملاً بأجر ""وقّع عقد المؤاجرة مع عمّال المصنع- {عَلَى أَنْ تُؤَاجِرَنِي ثَمَانِيَ حِجَجٍ} [ق]"". ; • آجرَ البيتَ منه: أكراه منه، انتفع به مقابل أجرة معيَّنة."
آجر,آجُرُّ [جمع]: مف آجُرَّة: لبِن محروق مُعَدٌّ للبناء، وتتكوَّن المادّة المحرقة من الطِّين أو أي مخلوط آخر كالجير والرَّمل أو الأسمنت والرَّمل.
آجل,"آجِل [مفرد]: مُؤخَّر، مُتأخِّر، خلاف عاجل ""سيزوره آجلاً: مستقبلاً- ستُحلّ المشكلة آجلاً بإذن الله"" ; عاجلاً أو آجلاً: واجب الحدوث اليوم أو غدًا."
آجلة,آجِلة [مفرد]: مؤنَّث آجِل. ; • الآجِلة: الآخرة، دار البقاء بعد الموت، عكسها العاجلة وهي الدُّنيا.
آح,"آح [مفرد] ; • الآح: ; 1- بياض البيض الذي يؤكل، والماحُ صُفْرتُه ""في الآح شيءٌ من البروتين"". ; 2- (نت) مادّة نشويّة أو بروتينيّة أو دُهنيّة في البذرة يغتذي منها الجنين."
آحاد,آحاد [جمع]: مف أحد ; • الآحاد: (جب) المرتبة التي إذا وُضع فيها العدد المفرد كان مساويًا قيمته المطلقة ويقابل العشرات والمئات (انظر: و ح د - آحاد) ; جاءوا آحاد: واحدًا واحدًا. ; • حديث الآحاد/ خبر الآحاد: (حد) ما رواه واحد من الصحابة أو واحد من تابعيهم، ولا يأخذ به الفقهاء إذا لم تثبت لهم صحّتُه من طريق آخر.
آحاد,آحاد [جمع]: مف أحد ; • الآحاد: (جب) المرتبة التي إذا وُضع فيها العدد المفرد كان مساويًا قيمته المطلقة ويقابل العشرات والمئات ; جاءوا آحاد: واحدًا واحدًا. ; • حديث الآحاد/ خبر الآحاد: (حد) ما رواه واحد من الصحابة أو واحد من تابعيهم، ولا يأخذ به الفقهاء إذا لم تثبت لهم صحّتُه من طريق آخر.
آخذ,"آخذَ يؤاخذ، مُؤاخذةً، فهو مُؤاخِذ، والمفعول مُؤاخَذ ; • آخذ الرَّجلَ: عاتبه، لامه وعابه ""لا تؤاخذني إن قصَّرت في خدمتك- {قَالَ لاَ تُؤَاخِذْنِي بِمَا نَسِيتُ وَلاَ تُرْهِقْنِي مِنْ أَمْرِي عُسْرًا}"" ; لا تؤاخذني: كلمة اعتذار. ; • آخذه بذنبه/ آخذه على ذنبه: عاقبه عليه وجازاه ""{رَبَّنَا لاَ تُؤَاخِذْنَا إِنْ نَسِينَا أَوْ أَخْطَأْنَا}""."
آخر,"آخَرُ [مفرد]: ج آخَرُون (للعاقل) وأُخَّر وأواخِرُ، مؤ أُخْرى، ج مؤ أُخْرَيات وأُخَرُ: ; 1- أحد شيئين يكونان من جنس واحد ""وَدَعْ كلّ صوت غير صوتي فإنّني ... أنا الصائح المحكيّ والآخر الصَّدى- {أَمَّا أَحَدُكُمَا فَيَسْقِي رَبَّهُ خَمْرًا وَأَمَّا الآخَرُ فَيُصْلَبُ}"" ; الوجه الآخَرُ للعملة- بين آونة وأخرى/ بين فترة وأخرى: بصورة متقطِّعة- بين حين وآخر/ من آن لآخر: أحيانًا- مرَّة أخرى: مرَّة ثانية- مِنْ ناحية أخرى- مِنْ وقتٍ إلى آخر: مِنْ وقت إلى وقت غيره- هو الآخر: هو أيضًا. ; 2- مختلف، مغاير أو بمعنى غيره ""{ثُمَّ أَنْشَأْنَاهُ خَلْقًا ءَاخَرَ}""."
آخر,"آخِر [مفرد]: ج آخِرون وأواخِرُ: عكس أوَّل في الرُّتبة أو الزمن ""كان في آخِر كشوف الناجحين- آخِر الدَّواء الكيّ [مثل]: يُضرب في آخِر ما يُعالج به الأمر بعد اليأس منه- مَنْ كَانَ آخِرُ كَلاَمِهِ لاَ إِلَهَ إلاَّ اللهُ دَخَلَ الْجَنَّةَ [حديث]- {وَاجْعَلْ لِي لِسَانَ صِدْقٍ فِي الآخِرِينَ}"" ; آخِر الأمر: أخيرًا- آخِر صَيْحة: حديث جدًّا- آخِر طراز: أحدث طراز- أتَى على آخِره: أتَّمه- أخيرًا وليس آخِرًا: وفي النّهاية، وليس أقل قيمة ممّا أو ممّن سبقه- إلى آخِره: وغير ذلك، أو ما شابه ذلك، وتكتب أحيانًا مختزلة بلفظ إلخ- أواخر الشَّهر: القسم الأخير منه- أوَّلاً وآخِرًا: في جميع الحالات- جاءوا عن آخِرهم: جميعًا- في آخِر الدُّنيا: ناءٍ أو في أقاصي المعمورة- في آخر لحظة- ما رأيت له أوّلاً ولا آخِرًا: ما رأيتُ له قديمًا ولا حديثًا- ما له آخِر: طويل لا ينتهي- مِنْ أوَّله إلى آخِره: من بدايته إلى نهايته. ; • الآخِر: اسم من أسماء الله الحسنى، ومعناه: الباقي بعد فناء خَلْقه، الدّائم بلا نهاية ""{هُوَ الأَوَّلُ وَالآخِرُ}"". ; • ربيع الآخِر: الشهر الرابع من شهور السنة الهجريَّة، يلي ربيع الأوّل ويأتي بعده جمادى الأولى. ; • اليوم الآخِر: يوم القيامة ""{إِنَّمَا يَعْمُرُ مَسَاجِدَ اللهِ مَنْ ءَامَنَ بِاللهِ وَالْيَوْمِ الآخِرِ}""."
آخرة,"آخِرة [مفرد]: ج أواخِرُ: مؤنَّث آخِر: ""هو في السنة الآخِرة من الدراسة الثانويّة- {لَهُ الْحَمْدُ فِي الأُولَى وَالآخِرَةِ}"". ; • الآخِرة: الآجِلة، دار البقاء بعد الموت ""اعمل لدنياك كأنّك تعيش أبدًا واعمل لآخِرتك كأنّك تموت غدا: من كلام الإمام علي رضي الله عنه- {وَلَلْآخِرَةُ خَيْرٌ لَكَ مِنَ الأُولَى}"" ; الدَّار الآخِرة: دار البقاء بعد الموت. ; • آخِرة العين: طرفها الذي يلي الصّدغ ""أرى احمرارًا في آخِرة عينك"". ; • جمادى الآخِرة: الشَّهر الخامس من شهور السَّنة الهجريِّة يلي جمادى الأولى ويسبق شهر رجب."
آخى,"آخى يؤاخي، آخِ، مُؤاخاةً وإخاءً، فهو مُؤاخٍ، والمفعول مُؤاخًى ; • آخى بينهما: جعلهما كالأخوين ""آخى الرسولُ صلّى الله عليه وسلّم بين المهاجرين والأنصار"". ; • آخى جارَه: اتَّخذه أخًا وصديقًا ""نحتاج إلى روح الإخاء في أعمالنا- آخ الأكْفَاء وحاذر الأعداء""."
آد,"آدَ يَئود، أُدْ، أودًا وإيادًا، فهو آيد، والمفعول مئود ; • آد الأمرُ فلانًا: أثقله، أعجزه، أضناه، أتعبه، أجهده ""{وَلاَ يَئُودُهُ حِفْظُهُمَا وَهُوَ الْعَلِيُّ الْعَظِيمُ}""."
آداب,"آداب [جمع]: مف أَدَب: قواعد متَّبعة في مجال أو سلوك معيَّن ""آداب الطعام/ الاستئذان"" ; آداب اجتماعيَّة: قواعد اللياقة والذوق العام- الآداب العامّة: العُرْف المقرَّر المُرْضي- مُخِلّ بالآداب: منافٍ لها. ; • الآداب: مصطلح يُطلق على جملة المعارف الإنسانيّة وبخاصّة على الأدب الإنشائيّ والأدب الوصفيّ والتَّاريخ والجغرافية وعلم اللغة والفلسفة وغيرها من العلوم الاجتماعيّة. ; • آداب البحث والمناظرة: (سف) قواعِد تبيِّن وتُنظِّم كيفيّة المناظرة وشرائِطها. ; • شُرْطة الآداب: الشرطة المكلَّفة بمراعاة الآداب العامّة."
آدب,آدبَ يُؤدِب، إيدابًا، فهو مُؤْدِب، والمفعول مُؤْدَب (للمتعدِّي) ; • آدَبَ الرَّجلُ: أدَب، صنَع مَأْدُبةً. ; • آدَبَ القومَ إلى طعامه: أدَبهم، دعاهم إلى طعامه.
آدم,آدمَ يُؤدم، إيدامًا، فهو مُؤْدِم، والمفعول مُؤْدَم (للمتعدِّي) ; • آدم اللهُ بينهم: أصلح ووفَّق بينهم. ; • آدَم الخبزَ: خلطه بالإدام، أو جعل معه شيئًا يُطيّبه.
آدم,"آدَمُ [مفرد]: أبو البشر، خلقه الله من طين وأمر الملائكة أن تسجد له فسجدوا إلاّ إبليس ""{إِنَّ مَثَلَ عِيسَى عِنْدَ اللهِ كَمَثَلِ ءَادَمَ خَلَقَهُ مِنْ تُرَابٍ}"" ; ابن آدم/ بنو آدم: البَشَر. ; • تُفَّاحة آدم: (شر) بروز غضروفيّ ناتئ أعلى الرقبة، يتحرَّك أثناء البلع."
آدم,آدَمُ [مفرد]: (انظر: أ ا د م - آدَمُ).
آدمي,"آدَميّ [مفرد]: ; 1- اسم منسوب إلى آدَمُ. ; 2- إنسان ""يدرك الآدَمِيُّ قيمة وجوده"". ; 3- إنسانيّ أو ما يليق بالإنسان ; غير صالح للاستهلاك الآدَمِيّ. ; • لا آدمي: حيوانيّ، لا يليق بالإنسان ""أدانت منظمة العفو الدولية التعذيب الّلا آدميّ للأَسرى""."
آدمية,آدَميَّة [مفرد]: مصدر صناعيّ من آدَم: إنسانيَّة؛ مجموع خصائص الجنس البشري التي تميزه عن غيره من الأنواع القريبة.
آذار,آذارُ [مفرد]: الشّهر الثّالث من شهور السّنة الشّمسيَّة، يأتي بعد شَبَاط ويليه نيسان ويقابله مارس من شهور السَّنة الميلاديَّة، وهو نهاية فصل الشّتاء وبداية فصل الرّبيع.
آذن,"آذنَ/ آذنَ بـ يُؤذن، إيذانًا، فهو مُؤْذِن، والمفعول مُؤْذَن ; • آذنه الأمرَ/ آذنه بالأمر: أعلمه وأخبره به ""{فَإِنْ تَوَلَّوْا فَقُلْ ءَاذَنْتُكُمْ عَلَى سَوَاءٍ}"". ; • آذن بالأمر: نادى وأعلم به ""آذن المؤذِّن بالصلاة- آذن بقرب وصول الطائرة"" ; آذن الحُكْمُ بالسُّقوط: بدأ ينهار- آذنت الشَّمسُ بالغروب: أوشكت أن تغرب."
آذن,آذَنُ [مفرد]: ج أُذْن، مؤ أَذْناءُ، ج مؤ أُذْن: صفة مشبَّهة تدلّ على الثبوت من أذِنَ.
آذى,"آذى يُؤذي، آذِ، إيذاءً، فهو مُؤذٍ، والمفعول مُؤذًى ; • آذى الرَّجلَ: أضرَّه، أصابه بضرر أو مكروه ""إنَّه لا يؤذي إلاّ نفسه- مَنْ كَانَ يُؤْمِنُ بالله وَالْيَوْمِ الآخِرِ فَلاَ يُؤْذِ جَارَهُ [حديث]- {يَاأَيُّهَا الَّذِينَ ءَامَنُوا لاَ تَكُونُوا كَالَّذِينَ ءَاذَوْا مُوسَى فَبَرَّأَهُ اللهُ}"". ; • آذى اللهَ ورسولَه: ; 1- عصاهما وأساء الأدب معهما ""{إِنَّ الَّذِينَ يُؤْذُونَ اللهَ وَرَسُولَهُ لَعَنَهُمُ اللهُ}"". ; 2- عاقبه ""{وَاللَّذَانِ يَأْتِيَانِهَا مِنْكُمْ فَآذُوهُمَا}: عاقبوهما بالشتم والضرب، أو التعزير""."
آراميون,آرامِيّون [جمع]: مف آراميّ ; • الآرامِيّون: شعب ساميّ عاش بين القرنين الثَّامن عشر والثَّالث عشر قبل الميلاد في منطقة الفرات الأوسط، وانتشرت لغته الآرامية في بلاد غربيّ آسيا، وهي اللغة التي تكلَّم بها السَّيِّد المسيح عليه السَّلام، وقد بلغت الحضارة الآراميَّة ذروتها في القرنين التَّاسع والثَّامن قبل الميلاد.
آري,"آريّ [مفرد]: ; 1- جنس تجمعه بعض الخصائص اللُّغويَّة والجنسيَّة، بعضه في الهند وإيران، وبعضه في أوربا ""الجنس الآريّ"". ; 2- من ينتمي إلى الجنس الآريّ ""رجل آريّ""."
آرية,آريّة [مفرد]: ; 1- لغة يُقال إنّها أصل اللغات الهندوأوربيّة. ; 2- فكرة تقول بتفوّق الجنس الآريّ، وقد استندت إليها النَّازيّة الألمانيّة.
آزر,"آزرَ يؤازر، مُؤازرةً، فهو مُؤازِر، والمفعول مُؤازَر ; • آزر فلانًا: عاونه وأيَّده، ساعده ووقف بجانبه ""آزر الحكومة/ أصدقاءه- يؤازر الأخوة بعضهم بعضًا في الشدائد- نعم المؤازرة المشاورة [مثل]- {كَزَرْعٍ أَخْرَجَ شَطْأَهُ فَآزَرَهُ فَاسْتَغْلَظَ فَاسْتَوَى}""."
آزر,"آزَرُ [مفرد]: اسم أبي إبراهيم، أو لقب له، أو اسم عمّه، وكان يصنع الأوثان لقومه ""{وَإِذْ قَالَ إِبْرَاهِيمُ لأَبِيهِ ءَازَرَ أَتَتَّخِذُ أَصْنَامًا ءَالِهَةً}""."
