word,definition
مقدمة,"مقدمة الوسيط ; ; وبعد، فقد يسأَل القارئ حين يتناول هذا المعجمَ: هل كان قُرَّاءُ العربية في حاجةٍ إليه وبين أَيديهم من المعاجم القدِيمُ المطوَّل والمتوسطُ والموجَز، والحديثُ المرتَّب والمصوَّر؟ ; وماذا عسى أن تكون مميَّزات المعجم الوسيط...، واللغةُ هي اللغةُ، والرواية هي الرواية؟ ; وجوابنا عن هذا السؤال: أَنَّ وضع هذا المعجم كان عملاً لا بدَّ منه، لأن المعاجم الأخرى، سواءٌ منها القديمُ والحديث، قد وقفتْ باللغة عند حدودٍ معيَّنة من المكان والزَّمان لا تتعدَّاها، فالحدود المكانيةُ شِبهُ جزيرة العرب، والحدود الزَّمانية آخر المائة الثانية من الهجرة لعرب الأمصار، وآخر المائة الرابعة لأعراب البوادي. ; ومعظم هذه المعاجم قد تصوَّنت عن إِثبات ما وضع المولَّدون والمحدَثون في الأقطار العربية من الكلمات والمصطلحات والتراكيب، حتى قَرَّ في نفوس الدارسين أنَّ اللغة قد كملت في عهد الرواية، واستقرَّت في بطون هذه المعاجم. ; ظلّ الأمر على هذه الحال حتى نهضَ العرب نهضتَهم العامَّةَ في العصر الحديث، وأرادوا أن يسايروا رَكْبَ الحضارة، ويشاركوا في تحصيل العلوم والفنون الحديثة، ويَنْقلوها إلى أبنائهم بلغتهم، فلم يجدوا من اللغة المأَثورة المحصورَةِ، القدرَة على التعبير عن أكثر ما يريدون أن ينقلوا من علومٍ أو فنون، أو ما يستعملون من أدواتٍ وآلات، أو ما يتداولون من سِلَع وعروض، أو ما يتَّخذون من أَثاث وفراش، أو ما يلبسون من حَلْي وثياب، أو ما يركبون من بواخرَ وطائرات. ; ولقد اقتضت هذه الحالُ إِنشاء ""مجمع اللغة العربية""؛ ليحافظَ على سلامة اللغة العربية، ويجعلها وافية بمطالب العلوم والفنون وتقدُّمها، ملائمة على العموم لحاجات الحياة في العصر الحاضر، وذلك بأَن يحدّد في معاجمَ أو تفاسيرَ خاصّة، أو بغير ذلك من الطرق، ما ينبغي استعماله أو تجنُّبه من الألفاظ والتراكيب. ; فرأى المجمع - وهو الجهة اللغوية العليا - أن يتخذ جميع الوسائل الكفيلةِ بتحقيق الأغراض التي من أجلها أُنشئ؛ وذلك بإنهاض اللغة العربية وتطويرها، بحيث تساير النهضة العلمية والفنيّةَ في جميع مظاهرها، وتَصلحُ موادُّها للتعبير عما يُستحدَث من المعاني والأفكار. ; ; وكان من بين هذه الوسائل اتخاذ قرارات لغويّة هامّة، منها: ; (1) فتح باب الوضع للمحدَثين بوسائله المعروفة من اشتقاق، وتجوّز، وارتجال. ; (2) إِطلاق القياس؛ ليشملَ ما قيسَ من قبل وما لم يُقَسْ. ; (3) تحرير السَّماع من قيود الزمان والمكان؛ ليشمل ما يُسمَع اليوم من طوائف المجتمع، كالحدَّادين والنجَّارين والبنائين، وغيرهم من أرباب الحرف والصناعات. ; (4) الاعتداد بالألفاظ المولَّدة، وتسويتُها بالألفاظ المأَثورة عن القدَماء. ; ثم رأت وزارة المعارف (التربية والتعليم) ورأى معها المجمعُ، أنَّ من أهم الوسائل لإنهاض اللغة وضعَ معجم يقدَّم إلى القارئ المثقَف ما يحتاجُ إِليه من موادّ لغويّةِ، في أسلوب واضح، قريبِ المأخذ، سهل التناول، واتُفق على أَن يسمَّى هذا المعجمُ: ""المعجمَ الوسيط"". ووكّل المجمع إلى لجنة من أَعضائه وضع هذا المعجم. ; وسارت اللجنة في عملها مستقلةً بتبعته، ومسترشدة بما يُقِرُّه مجلس المجمع ومؤْتمره من ألفاظ حَضارية مستحدَثة، أو مصطلحاتٍ جديدة موضوعة أو منقولة، في مختلف العلوم والفنون، أَو تعريفات علمية دقيقة واضحةٍ للأشياءِ. ; ولهذا كله تهيأَ لهذا المعجم ما لم يتهيأ لغيره من وسائل التجديد، واجتمع فيه ما لم يجتمع في غيره من خصائصَ ومزايا، فقد أهملت اللجنةُ كثيرًا من الألفاظ الحوشية الجافية، أَو التي هَجَرها الاستعمال لعدم الحاجة إِليها، أو قلة الفائدة منها، كبعض أسماءِ الإبل وصفاتها وأدواتها وطرق علاجها، وأهملت كذلك الألفاظَ التي أجمعت المعاجمُ على شرحها بعباراتٍ تكاد تكون واحدةً، شرحًا غامضًا مُقتضَبًا لا يبيِّنُ حقائقَها، ولا يقرَّب معانيها. ; كذلك أَغفلت بعضَ المترادِفات التي تنشأَ عن اختلاف اللهجات؛ مثل: اطمأَنَّ واطبأَنَّ، ورعس ورعث،..... إِلخ. ; وعُنيت اللجنة بإثبات الحيِّ السهل المأَنوس من الكلمات والصيغ، وبخاصة ما يَشعرُ الطالبُ والمترجمُ بالحاجة إِليه، مع مراعاة الدِّقّة والوضوح في شرح الألفاظ أو تعريفها. ; واستعانت اللجنة في شَرحها للألفاظ بالنصوص والمعاجم التي يُعتمَد عليها، وعزَّزَته بالاستشهاد بالآيات القرآنية، والأحاديث النبوية، والأمثال العربية، والتراكيب البلاغية المأثورة عن فصحاءِ الكتَّاب والشُّعراءِ، وصَوَّرت ما يَحتاج توضيحُه إلى التصوير: من حيوان، أو نباتٍ، أو آلة، أو نحو ذلك. ; وآثرَت في الشرح الأساليبَ الحيَّة على الأساليب الميّتة. ; وأَدخلت اللجنةُ في متن المعجم ما دَعَت الضرورةُ إلى إِدخاله من الألفاظ المولَّدة أو المحْدَثة، أو المُعرَّبة، أو الدخيلة، التي أقرها المجمع، وارتضاها الأدباءُ، فتحرَّكَت بها ألسنتهُمْ، وجَرَتْ بها أقلامُهم. ; واللجنةُ على يقين من أنَّ إِثبات هذه الألفاظِ في المعجم من أهمِّ الوسائل لتطوير اللغة، وتنميتها وتوسيع دائرتها. ; وممَّا حرَصَت اللجنَةُ على اتِّباعه في هذا المعجم الاقتصارُ في ذكر أبواب الفعل، فاكتفت بذكر باب واحد إِذا كانت الأبواب متَّحدة المعاني كما في الفعل (نبع)، أما إِذا اختلف المعنى باختلاف الباب فقد ذَكَرت الأبوابَ كلَّها، كما في الفعل (قدم). ; اختارت اللجنة من المصادر أشهرَها وأكثرَها استعمالا، إِلاَّ إذا اختلف المعنى باختلاف صيغة المصدر، فإنَّها تثبت الصّيَغ كلها، كما في: ثبات، وثبوت، ودعوة، ودعاء، ودعاية. وكذلك الحال في الجموع. ; أما أسماء الفاعِلين والمفعولين، فذكرت مع الفعل ما رأت ضرورةَ النَّصّ عليه لخفائه، أو لتفريع بعض المعاني عليه. ; أما المؤنَّثات، فقد أهملت منها ما كان بزيادة تاء على مذَكَّره؛ لوضوحه وشُهْرته. وما كان بغير تاء اكتفت منه بما قد يخفي على كثير. ; كما راعت اللجنة في صياغتها لمواد المعجم ما أقرَّه المجمع من قرارات في مختلف دوراته السابقة، مثل: ; (1) قياس المطاوعة من فَعْلَل وما أُلحقَ به، وهو ""تَفَعْلَل""، نحو: دحرجته فتدحرج. ; (2) قياس تعدية الفعل الثلاثي اللازم بالهمزة. ; (3) قياس المطاوعة لفَعّلَ مضعّف العين، وهو ""تَفَعَّلَ"". ; (4) قياس صيغة استفعَل لإفادة الطّلب أو الصَّيْرُورة. ; (5) قياس صُنع مصدر من كلمة بزيادة ياء مشدَّدة وتاء؛ وهو المصدر الصناعي. ; (6) قياس صوغ مصدر على فُعال من الفعل اللازم المفتوح العَين للدلالة على المَرض. ; (7) قياس صَوغ مصدر على وزن فَعَلان للفعل اللازم المفتوح العين إذا دلَّ على تقلّب واضطراب. ; (8) قياس صَوغ مصدر على وزن فِعالة من جميع أبواب الثلاثي للدلالة على الحِرفة أو شبهها. ; (9) قياس صَوغ اسم على وزن مِفْعل ومِفْعال ومِفْعلة من الفعل الثلاثي للدلالة على الآلة التي يُعالَج بها الشيء، ويضاف إلى هذه الصيغ الثلاث فعّالة (كخرَّاطة، وسَمّاعة...). ; (10) قياس صَوغ مَفعلة من أسماءِ الأعيان الثلاثية الأصول، للمكان الذي تكثر فيه هذه الأعيان، سواء أكانت من الحيوان، أَم من النَّبات، أم من الجماد، كَمَبْطخة، ومأسَدة. ; (11) قياس صَوغ فعَّال للمبالغة من مصدر الفعل الثُّلاثي اللازم والمتعدي. ; هذا إلى تطبيق قرار المجمع بتكملة المادة اللغوية إِذا ورد بعضها ولم يرد بعضها الآخر. ; ويتلخَّص المنهج الذي نهجته اللجنة في ترتيب موادِّ المعجم فيما يأتي: ; (1) تقديم الأفعال على الأسماء. ; (2) تقديم المجرّد على المزيد من الأفعال. ; (3) تقديم المعنى الحِسّيّ على المعنى العقلي، والحقيقي على المجازيّ. ; (4) تقديم الفعل اللازم على الفعل المتعدي. ; (5) رتبت الأفعال على النحو الآتي: ; (أ) الفعل الثلاثي المجرَّد: (1) فعَل يفعُل، كنصر ينصُر. (2) فَعَل يفعِل، كضرب يضرِب. (3) فَعَل يفعَل، كفتَح يفتَح. (4) فَعِل يفـعَل، كعلِم يعلَم. (5) فَعُل يفعُل، كشرُف يشرُف. (6) فَعِل يفعِل، كحسِب يحسِب. ; (ب) ورتب الفعل المزيد ترتيبًا هجائيًّا على الوجه الآتي: ; الثلاثي المزيد بحرف: (1) أفعل، كأَكرم. (2) فاعَلَ، كقاتل. (3) فَعَّل، ككرَّم. ; الثلاثي المزيد بحرفين: (1) افتعل، كانتصر. (2) انفعل، كانكسر. (3) تفاعلَ، كتشاور. (4) تَفعَّل، كتعلَّم. (5) افعَلَّ، كاحمرَّ. ; الثلاثي المزيد بثلاثة أحرف: (1) استفعل، كاستغفر.(2) افَعَوْعَلَ، كاعشَوْشَب (3) افْعالَّ، كاحمارّ. (4) افْعَوَّلَ، كاجْلَوْذ. ; (ج) الرباعي المجرّد: دَحْرَجَ. الرباعي المزيد بحرف: تفعْلل، كتدحرجَ. وأما ما ألحِقَ بالرباعي من أوزان، فقد ذُكر منها ما رأت اللجنة إثباتَه مع الإحالة عليه في موضعه من الترتيب الحرفي للمواد: (فكوثر) مثلا، تذكر في (كثر) موضَّحا معناها، وفي (كوثر) مُحالةً على مادة (كثر). و(غيلم) في مادة (غلم)، وتذكر أيضًا في (غيلم) محالة على (غلم)، وهكذا. و(مضعّف الرباعي) فُصِلَ عن مادة الثلاثي، وذُكِرَ في موضعه من الترتيب الحرفي. مثلاً (زلزل) كتبت في مادة (زلزل)، و(زلَّ) كتبت في (زلل)، وهكذا (حسحس) وما إليها. ; وهناك كلماتٌ صُدِّرَت بالتاءِ المبدلة من الواو إِبدالاً دائمًا كالتؤَدة، وتجه، وتقي، واتَّقى، وتَخم، والتُّراث، فجعلناها مع أصلها في باب الواو. كما راعت اللجنة في رسم مثل (ائتب) إذا وقعت في مبدإ الكلام أن تثبت الهمزتان: همزة الوصل المرسومة ألفًا، وهمزة فاء الكلمة المرسومة ياء، وإن كانت قواعد الصرف تقضي بإبدال الهمزة الثانية ياء في البدء بالفعل فيقال: (ايتب). وقد آثرنا الرسم الأول ليتبين للقارئ بوضوح أَنَّ الألف همزة لا ياء. ; أما الأسماء فقد رتبت ترتيبًا هجائيًّا. ; وقد أشرف على طبع هذا المعجم الأستاذ ""عبد السلام هارون""، رئيس قسم الدراسات النحوية بكلية دار العلوم؛ فراجع الأُصول، وضَبَطها، ورقّمها، قبل تقديمها إلى المطبعة. وهذا مجهودٌ جديرٌ بالتَّنويه. ; وتحرص اللجنة على أن تسجِّلَ الشكر لكلِّ من أسهم في إعداد هذا المعجم من السادة أعضاء المجمع، وخُبرائه، ومحرِّريه الحاليين والسابقين. وتخصُّ بالذكر الأستاذين ""عبد العليم الطحاوي"" رئيس التحرير، و""حسن عطية"" المحرر الأول بالمجمع، فقد بذلا في السنوات الأخيرة، عونًا وعناية في إعداد المواد، وتوفر المراجع، وتحرير الأصول. وتتوجَّه اللجنة بالرجاءِ إلى رجال اللغة والأدب، أن يبعثوا إِليها بما يستدركون عليها من نقص يلازم الإنسان، أو خطإٍ يفوت جُهد الحريص؛ ليُثبَتَ ما يصح منه في الطبعة الثانية. ; كتب الله التوفيقَ لكل مجاهدٍ في سبيل اللغة، مخلص في خدمة الأدب. ; إبراهيم مصطفى ; حامد عبد القادر ; أحمد حسن الزيات ; محمد علي النجار ; القاهرة في 1380 هـ 1960 م"
همز|همزة,(الهمزة) صوتٌ شديدٌ، مخرجه من الحنجرة ولا يوصَف بالجهر أو الهمس. وتكون الهمزة من حروف المعاني، فتُستعمل في النداء، لنداء القريب، فيقال: أَبُنَيَّ؛ وفي الاستفهام، فَيُسأَل بها عن أحد الشيْئين أو الأشياء، مثل: أَأَخوك سافر أم أَبوك؟ ونحو: وإنْ أدْرِي أَقريبٌ أمْ بَعِيدٌ مَا تُوعَدُنَ، ويكون الجواب بالتعيين. ويُسأَل بها عن الإسناد، مثل: أَسافر أَخوك؟ ويكون الجواب بنعم أَو بلا. وتقول في جواب: أَلم يسافر أخوك؟ نعم، أي لم يسافر؛ وبَلَى، أي سافر.
آ,(آ) حرف نداءٍ للبعيد.
آب,(آب): الشهر الحادي عشر من الشهور السُّريانية، يقابله أغسطس من الشهور الرومية (الميلادية).
آب|الآب,(الآب): الأقنوم الأول عند النصارى.
آبنوس,(الآبُنوس - الآبِنوس): شجر ينبُت في الحبشة والهند، خشبه أسود صلب، ويُصنع منه بعض الأدوات والأواني والأثاث. (د). ; (الآبُنوسية): مادة سوداء صلبة، تُتخذ من خلط الكبريت بالمطاط النقي، غير موصِّلة للكهربا.
آجر,(الآجُر): اللَّبِن المحرَق المعد للبناء. وفيه لغات. (مع).
آح,(الآح): انظر (أ ي ح).
آدم,(آدم): انظر (أ د م).
آذار,(آذار): الشهر السادس من الشهور السُّريانية، يقابله مارس من الشهور الرومية (الميلادية).
