word,definition
آ,"آ: حرف هجاء مقصورة موقوفة، فإن جعلتها اسما مددتها. ; وهى تؤنث ما لم تسم حرفا. ; وإذا صغرت آية قلت أيية، وذلك إذا كانت صغيرة في الخط، وكذلك القول فيما أشبهها من الحروف. ; والالف من حروف المد واللين والزيادات. ; وحروف الزيادات [[وقد قلت في حروف الزيادة، وأنا أستغفر الله: سألت حبيبي الوصل منه دعابة * وأعلم أن الوصل ليس يكون فماس دلالا وابتهاجا وقال لى * برفق مجيبا (ما سألت يهون)]] عشرة، يجمعها قولك: "" اليوم تنساه "". (*) وقد تكون الالف في الافعال ضمير الاثنين نحو فعلا ويفعلان، وتكون في الاسماء علامة للاثنين ودليلا على الرفع نحو رجلان. فإذ تحركت فهى همزة. ; وقد تزاد في الكلام للاستفهام، تقول: أزيد عندك أم عمرو؟ فإن اجتمعت همزتان فصلت بينهما بألف، قال ذو الرمة: أيا ظبية الوعساء بين جلاجل * وبين النقا آأنت أم أم سالم وقد ينادى بها، تقول: أزيد أقبل، إلا أنها للقريب دون البعيد ؛ لانها مقصورة [[قال في المختار: يريد أنها مقصورة من يا، أو من أيا، أو من هيا، اللاتى ثلاثتها لنداء البعيد.]] . ; وهى على ضربين: ألف وصل، وألف قطع. ; وكل ما ثبت في الوصل فهو ألف القطع، وما لم يثبت فهو ألف الوصل، ولا تكون إلا زائدة. ; وألف القطع قد تكون زائدة مثل ألف الاستفهام، وقد تكون أصلية مثل ألف أخذ وأمر."
آأ,"آء: شجر، على وزن عاع، واحدتها: آءة [[الصحيح عند أهل اللغة: أنه ثمر السرح. ; وزاد ابن برى في حاشية الصحاح: "" ولا يعكر عليه قول شرذمة منهم: إنه اسم للشجر، لانهم قد يسمون الشجر باسم ثمره، ألا ترى إلى قوله تعالى: "" فأنبتنا فيها حبا وعنبا ""؟ وفى اللسان: الآء أيضا: صياح الامير بالغلام.]] . قال زهير بن أبي سُلْمى يصف الظليم: كأن الرحل منه [[في ديوانه "" منها "".]] فوق صعل من الظلمان جؤجؤه هواء - أصك مصلم الاذنين أجنى [[أجنى الشجر: صار له جنى يؤكل.]] له بالسى تنوم وآء وآء أيضاً: حكاية أصوات. قال الشاعر: إنْ تَلْقَ عمْراً فقد لاقيتَ مدَّرِعا وليس من همه إبْلٌ ولا شاءُ في جحفل لَجِب جَمٍ صواهُله بالليل يُسمَع [[في اللسان: تسمع، بالتاء.]] في حافاته آء"
آد,"الرجلُ يَئيدُ أَيْداً: اشتدَّ وقوي. ; والأيْدُ والآدُ: القوة. قال العجاج: ; مِنْ أَنْ تَبَدَّلْتُ بآدي آدا * يعني قوّة الشباب. تقول منه: أَيّدْتُهُ على فَعَلْته، فهو مُؤَيَّدٌ. ; وتقول من الأَيْدِ: أَيَّدْتُهُ تَأْييداً، أي قوّيته. ; والفاعل مُؤَيَّدٌ، وتصغيره مُؤَيِّدٌ أيضا، والمفعول مؤيد. ; وتأيد الشئ: تقوَّى. ; ورجلٌ أَيِّدٌ، أي قويّ. قال الشاعر: إذا القوس وترها أيد [[بشد الياء.]] * رمى فأصاب الكلى والذرى - يقول: إذا الله تعالى وتر القوس التى في السحاب رمى كل الابل وإسنمتها بالشحم، يعنى من النبات الذى يكون من المطر. ; والإيادُ: ترابٌ يجعَل حول الحوض أو الخباء يقوَّى به، أو يمنع ماء المطر. قال ذو الرمة يصف الظليم: دفعناه عن بيض حسان بأجرع * حوى حولها من تربه بإياد - يقول: طردناه عن بيضه. ; وإياد: حى من معد. ; وقال الشاعر [[أبواود الايادي.]] : في فتو حسن أو جههم * من إيادى بن نزار بن معد [[في اللسان: "" بن مضر "".]] - ويقال لميمنة العسكر وميسرته: إياد. قال الراجز: عن ذى إيادين لهام لو دسر * بركنه أركان دمخ لا نعقر [[في اللسان "" لا نقص "".]] - والمؤيد، مثال المؤمن: الأمرُ العظيمُ، والداهيةُ. قال طرفة: تقول وقد ترى الوظيف وساقُها * أَلَسْتَ تَرى أنْ قد أتيت بمؤيد -"
أا,أ: حرف يمد ويقصر فإذا مددت نونت، وكذلك سائر حروف الهجاء. ; والالف ينادى بها القريب دون البعيد تقول: أزيد أقبل، بألف مقصورة. ; والالف من حروف المد واللين. فاللينة تسمى الالف، والمتحركة تسمى الهمزة. ; وقد يتجوز فيها فيقال أيضا ألف، وهما جميعا من حروف الزيادة. ; وقد تكون الالف ضمير الاثنين في الافعال، نحو فعلا ويفعلان، وعلامة التثنية في الاسماء نحو زيدان ورجلان.
أبا,"الأباء بالفتح والمد: القًّصَبُ، الواحدة أباءة. ; ويقال هو أجمة الحلفاء والقصب خاصة. قال الشاعر [[كعب بن مالك الانصاري يوم حفر الخندق.]] : من سره ضَرْبٌ يُرَعْبِلُ بَعْضُهُ * بَعْضاً كَمَعْمَعَةِ الاباء المحرق [[بعده: فليأت مأسدة تسن سيوفها * بين المذاد وبين جزع الخندق]] (*) والاباء بالكسر: مصدر قولك: أَبى فلانٌ يَأْبى بالفتح فيهما، مع خلو من حروف الحلق، وهو شاذ، أي امتنع، فهو آب وأَبِيٌّ وأَبَيانٌ بالتحريك. قال الشاعر [[أبو المجشر، جاهلي.]] : وقبلك ماهاب الرجال ظلامتي * وفقأت عين الاشوس الا بيان وتأبى عليه، أي امتنع. ; وأبى فلانٌ الماءَ، وآبَيْتُهُ الماء. قال الشاعر [[ساعدة بن جؤية.]] : قد أُوبِيَتْ كُلَّ ماءٍ فهي صادِيَةٌ [[في المطبوعة الاولى: "" صادية "" صوابه في المخطوطة واللسان.]] * مهما تُصِبْ أفُقاً من بارق تشم وعنز أبواء. ; وقد أبيت تأبى أبى. ; وتيس آبى بين الاباء، إذا شم بول الاروى فمرض منه. قال الشاعر فقلت لكناز توكل [[يروى: "" تدكل "".]] فإنه * أبى لا إخال الضأن منه نواجيا [[بعد: فمالك من أروى تَعادَيْتِ بالعَمى * ولاقيتِ كَلاَّباً مُطِلاًّ وراميا فإن أخطأت نبلا حدادا ظباتها * على القصد لا تخطئ كلابا ضواريا]] ويقال: أخذه أباء، على فعال بالضم، إذا جعل يَأبى الطعام. ; وقولهم في تحيَّة الملوك في الجاهلية: أبيتَ اللعْنَ، قال ابن السكِّيت: أي أبَيتَ أن تأتي من الأمور ما تُلْعَنُ عليه. ; والأبُ أصله أبو بالتحريك، لان جمعه آباء، مثل قفا وأقفاء ورحى وأرحاء، فالذاهب منه واو، لانك تقول في التثنية: أبوان. ; وبعض العرب يقول أبان على النقص، وفى الاضافة أبيك، وإذا جمعت بالواو والنون قلت أبون، وكذلك أخون وحمون وهنون. قال الشاعر: فلما تعرفن أصواتنا * بكين وفديننا بالابينا وعلى هذا قرأ بعضهم: (إله أبيك إبراهيم (*) وإسماعيل وإسحاق) يريد جمع أب، أي أبينك فحذف النون للاضافة. ; ويقال: ما كنتَ أباً ولقد أَبَوْتَ أبُوَّة. ; وماله أبٌ يَأبوهُ، أي يغذوه ويربيه. ; والنسبة إليه أبوى. ; والأبَوان: الأبُ والأُمُّ. ; وبيني وبين فلان أُبُوَّةٌ. ; والأُبُوَّةُ أيضاً: الآباءُ، مثل العمومة والخُؤولة. ; وكان الأصمعي يروي قول أبي ذؤيب: لو كان مِدْحَةُ حَيٍ أَنْشَرَتْ أَحَداً * أحيا أبوتك الشم الاماديح وغيره يرويه: "" أبا كن يا ليلى الاماديح "". ; وقولهم: يا أَبَةِ افْعَلْ، يجعلون علامة التأنيث عوضاً عن ياء الإضافة، كقولهم في الام: يا أمه، وتقف عليها بالهاء، إلا في القرآن فإنك تقف عليها بالتاء اتباعا للكتاب. ; وقد يقف بعض العرب على هاء التأنيث بالتاء فيقولون: يا طلحت. ; وإنما لم تسقط التاء في الوصل من الاب وسقطت من الام إذا قلت يا أم أقبلي، لان الاب لما كان على حرفين كان كأنه قد أخل به، فصارت الهاء لازمة وصارت الياء كأنها بعدها. ; وقول الشاعر: تقول ابنتى لما رأتنى شاحبا * كأنك فينا يا أبات غريب أراد يا أبتاه، فقدم الالف وأخر التاء. ; وقد يقلبون الياء ألفا، قالت عمرة [[الجشمية.]] : وقد زعموا أنى جزعت عليهما * وهل جزع إن قلت وابأباهما [[قبلة: هما أخوا في الحرب من لا أخاله * إذا خاف يوما نبوة فدعاهما]] تريد: وابأبيهما. ; وقالت امرأة: ; يابيبى أنت ويا فوق البيب [[في اللسان: يا بأبى أنت ويا فوق البيب * يا بأبى خصياك من خصى وزب وفى المخطوطة: "" يا بأبى "".]] * قال الفراء: جعلوا الكلمتين كالواحدة لكثرتهما في الكلام. ; وقال: يا أبت ويا أبت لغتان، فمن نصب أراد الندبة فحذف. ; ويقال: لا أبَ لك ولا أبا لك، وهو مدح. ; وربما قالوا: لا أَباكَ، لأن اللام كالمُقحَمَةِ. قال أبو حية النميري (*) أبالموت الذى لابد أنى * ملاق لا أباك تخوفيني [[بعده: دعى ماذا علمت سأتقيه * ولكن بالمغيب نبئيني]] أراد تخوفينني، فحذف النون الاخيرة. قال ابن السكيت: يقال: فلان "" بَحْرٌ لا يُؤبى ""، وكذلك "" كَلا لا يُؤبى "" أي لا يجعلك تَأْباهُ، أي لا ينقطع من كثرته. ; والابواء، بالمد: موضع."
أبب,الأبُّ: المَرْعى. قال الله تعالى: (وفاكِهَةً وأًبّاً) . أبو عمرو: الأَبُّ: النِّزاعُ إلى الوطن. أبو زيد: أَبَّ يَؤُبُّ أَبّاً وأَباباً وأَبابَةً: تَهَيَّأ للذَهاب وتَجَهَّزَ، يقال هو في أبابه، إذا كان في جَهازِهِ. ; وقال الأعشى: ; أَخٌ قد طَوى كَشْحاً وأَبَّ لِيَذْهبا [[صدره: ; صرمت ولم أصرمكم وكصارم * أي صرمتكم في تهيئ لمفارقتكم، ومن تهيأ للمفارقة فهو كمن صرم]]
أبت,أبو زيد: أَبِتَ يومُنا بالكسر، يأْبَتُ، إذا إذا اشْتَدَّ حرُّه، فهو يوم أَبِتٌ وأَبْتُ [[الاول بسكون الباء كضخم، والثانى بكسرها ككتف، كما ضبطه المؤلف. اه‍ مرتضى.]] وآبِتٌ كله بمعنى. قال رؤبة: ; من سافعات وهجير أبت
أبث,الابث: الاشر النشيط. قال الراجز [[هو أبو زرارة النصرى.]] : أصبح عمار نشيطا أبثا * يأكل لحما بائتا قد كبثا وقال أبو عمرو: أَبِثَ الرجلُ بالكسر، يَأبَثُ وهو أن يشرب اللبن حتّى ينتفخ ويأخذَه كهيئة السُكْر. قال: ولا يكون ذلك إلا من ألبان الابل.
أبد,"الأبَد: الدهر، والجمع آبادٌ وأبودٌ. يقال أَبَدٌ أبيدٌ، كما يقال دهرٌ داهرٌ [[في اللسان: "" دهير "".]] . ; ولا أفعله أبد الا بيد، وأبد الآبدين كما يقال: دهر الداهرين، وعَوضَ العائضين. ; والأَبَدُ أيضاً: الدائم. ; والتأبيدُ: التخليد. ; وأَبَدَ بالمكان يَأْبدُ بالكسر أبوداً، أي أقام به. ; وأبَدَتِ البهيمة تَأْبُدُ وتَأْبِدُ، أي توحَّشَتْ. ; والأَوابِدُ: الوحوش. ; والتأبيد [[في اللسان "" التأبد "".]] : التوحش. ; وتأبد المنزل، أي أقفر وأَلِفَتْهُ الوحوش. ; وجاء فلان بآبِدةٍ، أي بداهيةٍ يبقى ذكرُها على الأَبدِ. ; ويقال للشوارد من القوافي، أَوابِدُ. قال الفرزدق: لَنْ تُدْرِكوا كَرَمي بلَؤْمِ أبيكُمُ * وأَوابِدي بتَنَحُّلِ الأَشْعارِ - وأَبِدَ الرجل، بالكسر: غضب. ; وأبِدَ أيضاً: توحَّش، فهو أبد. قال أبو ذؤيب: فافتن بعد تمام الظمء ناجية * مثل الهراوة ثنيا بكرها [[في القاموس: بناء موجد: محكم، بدون همز.]] - أبد أي ولدها الاول قد توحش معها. ; والابد، على وزن الابل الولود، من أمة أو أتان. ; وقولهم: ان يقلع الجد النكد * إلا بجد ذى الابد * في كل ما عام تلد * والابد ههنا: الامة: لان كونها ولودا حرمان وليس بجد، أي لا تزداد إلا شرا."
أبر,"الإبْرَةُ: واحدة الإبَرِ. ; وإبْرَةُ الذراعِ: مُسْتَدَقُّها. ; وَأَبَرْتُ الكلبَ: أطعمتْهُ الإبرةَ في الخُبز. ; وفي الحديث: "" المؤمن كالكلب المأبرو "". ; وأبر فلان نَخْلَه، أي لقَّحه وأصلحه. ; ومنه سِكَّةٌ مَأْبورَةٌ. ; وأَبَرَتْهُ العقربُ: لدغَتْه، أي ضربتْه بإبرتها. ; وفي عرقوبَيِ الفرسِ إبْرَتان وهما حَدُّ كلِّ عَرْقوبٍ من ظاهرٍ. ; وتَأْبيرُ النخلِ: تلقيحه. يقال: نخلةُ مُؤبَّرَةٌ مثل مأبورة. ; والاسم منه الابار، على وزن الازار. يقال: تأبر الفسيل، إذا قبل الادبار. قال الراجز: تأبري ياخيرة الفسيل * إذا ضن أهل النخل بالفحول [[سبق في (حنذ) بزيادة عماهنا: تأبري من حنذ فشولى * إذ ضن ... -]] - يقول: تلحقي من غير تأبير. ; ويقال ائْتَبَرْتُ، إذا سألْتَ غيرك أن يأبر لك نخلك أوزرعك. قال طرفة: ولى الاصل الذي في مثله * يُصْلِحُ الآبِرُ زرع المؤتبرة والمآبر واحدتها مئبرة [[قوله مئبرة، ومثلها في المعنى المئرة وجمعها مئر بوزن عنب. قاله نصر.]] ، وهي النميمةُ وإفسادُ ذاتِ البين."
