word,definition
الانتباه الذاتي,آلية تستخدم في نماذج التعلم الآلي مثل المحولات [التعلم العميق]، حيث يتم معالجة تفاعلات العناصر داخل بيانات التسلسل مع مراعاة كل عنصر بالنسبة لبقية العناصر.
خط,نمط أو شكل يمثل الكتابة أو العلامات الرسومية المستخدمة في التعبير عن الأفكار والمعلومات، يحلل في [علم النفس السلوكي] و[علم النفس الشخصي].
الرسالة,الإبلاغ عن شيء أو نقل معلومات [لغة]
امتحان,عملية تربوية تُجرى لاختبار المتعلمين في كثيرٍ من المجالات، ولها معنى محدد. [تعليم]
المصلحين,الأفراد الذين يسعون إلى إصلاح المجتمع أو التعاليم الدينية ونشرها، [فرق ومذاهب]
مُغَالَطَةٌ تَأثِيلِيَّةٌ,القَــولُ بــأن المعــى الصحيــحَ للكلمــة هــو المعــى الــذي كانــت عليــه في الأصــل، وهو قَــولٌ مبــنيّ على رَفــض التَّطَــوُّرِ اللغــويّ. [لغة]
الأمر,مصطلح يشير إلى الفعل المطلوب، ويُستخدم في العلوم الشرعية والفلسفية [فقه] [فلسفة]
الفضل,هو ابتدء خصائص الإحسان والكرم بدون وجود سبب أو علة واضحة. [فلسفة]
الكناية,التعبير عن معنى غير مباشر مقصود يتم الإشارة إليه دون ذكره صراحة، يُستخدم للتعبير عن صفات أو صفات معينة بشكل غير مباشر [بلاغة]
بريت هابريونيم,حركة صهيونية سرية نشأت لدعم الصهيونية المتطرفة وتنفيذ عمليات ضد الفلسطينيين [سياسة]
طبقة المخرجات,الطبقة النهائية ضمن الشبكة العصبية التي تقوم بإنتاج النتيجة النهائية للنموذج. تُستخدم في [التعلم العميق].
الميراث,حق الورثة في الحصول على نصيب من الممتلكات بعد وفاة الوصي، ويستخدم في مجال الفقه.
أسماء الله الحسنى,الأسماء التي سمى الله عز وجل بها نفسه في القرآن، والتي جاءت أيضًا في السنة، وتعتبر مجموعة من الأسماء التي تدل على صفات الله [أسماء الله وصفاته]
فرع,هو القضية أو المسألة الفقهية التي تحتاج إلى حكم أو تحليل، ويستخدم في المجال الفقهي.
إلكترون أولي,هو الجسيم الأولي الذي يحمل شحنة سالبة، ويعتبر أحد المكونات الأساسية للذرات [فيزياء المواد المكثفة]
تَتِمَّةُ الجَارِّ,تَتِمَّةٌ تَلي الجارَّ، وهي أحَدُ أنواعِ التَّتِمَّةِ. [لغة]
الجواهر المجردة,هي أنواع من الكائنات التي تُعتبر ثابته لكنها غير حقيقية في الوجود المادي، تستخدم كجزء من النقاش حول الوجود والزمان. [فلسفي]
فن التصنيف,العملية المنهجية لتنظيم المعلومات والمعارف وفقاً لمعايير محددة [إدارة المعرفة]
شَفْرَةٌ مُخْتَلَطَةٌ,تشير إلى شفرة تحتوي على عناصر متعددة، تستخدم في سياقات تكنولوجية [تكنولوجيا]
المادة,الشيء الذي تشكل منه العناصر الفيزيائية [فلسفة]
المعركة,النزاع المسلح الذي نشب بين إِبْرَاهِيم نظام شاه وعَادل شاه، مما أدى إلى مقتل العديد. [تاريخ]
ياقوت,حجر كريم يتكون من أكسيد الألومينيوم بنسيج بلوري ويمتاز بلونه الأحمر، ويستخدم في صناعة المجوهرات [علم المواد].
المفهوم,فهم شامل لفكرة أو موضوع محدد يستند إلى تحليل منطقي. [لغة]
تَرْجَمَةٌ شَفَهِيَّةٌ فَوْرِيَّةٌ,ترجمة شفوية تتم بشكل فوري دون انتظار، غالباً في المؤتمرات. [لغة]
فقه الأزمة,علم يتعامل مع القضايا الفقهية الناشئة في أوقات الأزمات [فقه]
استنتاج مباشر,..عملية توليد التنبؤات في الوقت اآلني عند الطلب
جفوف,ما هو قادر على التخلص بسرعة من مائه أو من رطوبته بامتصاصه الأكسجين أو بتعريضه للهواء. [الكيمياء العامة]
العمارة (في السياق الفقهي),قيام الفرد بما يصلح العقار أو البناء، ويشمل كل ما يتطلبه من ترميم أو إصلاح [فقه]
الخلوة,الانفراد بالنفس للتأمل أو الذكر أو التعبد [فقه]
مسقط متجه,المتجه الناتج عن إسقاط أحد المتجهات على متجه آخر، يُستخدم في [الهندسة] لتحديد الاتجاهات.
المصدر شبه الأَصْلِي,الكتاب الذي ينقل فيه مؤلفه الأحاديث بأسانيدها عن المصادر الأصلية [مجال فقهي]
الإعتاق,تحرير الرقية وتخليصها من الرق. هو أمر حث عليه الإسلام في الأنظمة الاجتماعية. [اصطلاحا فقهيا]
الملك,حق تملك الشخص للمال أو الممتلكات، ويعتبر أساسًا قانونيًا لإجراءات الإرث. [فقه]
