word,definition
أ,أ : الهمزة هي الحرف الأول من حروف الهجاء وهو قمري، من معانيها: الاستفهام أَيَحْسَبُ الإنْسَانُ أُنْ يُتْرَكَ سُدَىً. والتسوية سواءٌ عَلَيْهِمْ أَأَنْذَرْتَهُمْ أَمْ لَمْ تُنْذِرْهُمْ ونداء القريب؛ أَبُنَيَّ لا تخشَ كلمة الحق،-: أحد أحرف المضارعة؛ اقرأُ ،-: أحد أحرف الزيادة؛ أكرم، أقبل.
آ,آ : حرف نداء للبعيد؟ آيوسفُ أتسمعني؟
آب,آبَ يَؤُوبُ ؛أُبْ ،أَوْباً وإِيَاباً [ أوب]: عاد إِنَّ إِلَيْنا إِيَابَهُمْ.- إِلى الله: تاب.- ت الشمسُ: غابت.
آب,آبُ : الشهر الثامن من السنة الشمسية ويعرف أيضاً بأغسطس (معـ).
أباء,أبَاء يُبِيءُ أَبِيءْ إِبَاءةً [بوء]:- الشيءَ: أرجعه.- ـه منزلاً: أنزله فيه؛ أباءني داره ريثما أجد داراً أسكنها.- ـه: حمله على الإقرار؛ أَباءه بذنبه.- ـه به: قتله به.
أبات,أََبَاتَ يُبيتُ أَبِتْ إِبَاتَةً [بيت]:- ــه- جعله يَبيت أيْ يَقَضي ليله؛ أباته في داره.
أباح,أبَاحَ يُبِيحُ أَبِحْ إِبَاحَةً [بوح]:- السِّرَّ والشيءَ، أظهَرَه وأطلقه وجهر به.- ــه السِّرَّ: جعله يجهر به.- الشيءَ: أحَلَّه وسمح به؛ أباحت الدولة استيراد الموادّ الغذائية.
أباد,أَبَادَ يُبِيدُ أَبِدْ إِبَادَةً [بيد]:- ـه: أهلكه؛ أَصابتَ الزرعَ آفةٌ فأبادته.
أبار,أََبَارَ يُبيرُ أبِرْ إبَارَةً [بور]- ـه اللهُ. أهلكه. - الشَيءَ: أكسده؛ جهلُه بالتجارة أبار بضاعته.
أبان,أَبَانَ يُبِينُ أَبِنْ إِبَانَةً [بين]: ظهر واتّضح؛ أَبان الَحقُّ.- فلانٌ: أفصح عمّا يريد؛ كلامه غير واضح فهو لا يُبين.- الشيءَ: أظهره وأوضحه؛ أبان ما في القضيّة من غموض.- الشيءَ أو الشخصَ: أبعده؛ أبان التهمة عن نفسه.- ابنَتَهُ: زوَّجها-- وَلَدَهُ: خصَّه بمال.
أب,أَبَّ يَؤُبُّ أُبَّ أَو اُؤْبُبْ أَبَّاً وأَبَاباً :- للسير: تأهب له.- إِليه: اشتاق ونزح.- على أعدائه: حمل عليهم.- ـه أَبَّاً: قصده/ أَبَّ أَبَّه، أيْ قصد قصده.- يدَه إلى سَيْفِهِ: ردٌها ليستلّه.
إبان,إِبَّانٌ :- الشيءِ: أوانه، اشتدّ الحرّ إبّانَ نضج العنب.
أبن,أَبَّنَ يُؤَبِّنُ تَأْبيناً :- ــه: أثنى عليه بعد موته؛ جارنا يقرّظ الأحياء ويؤبِّن الأموات.
أبه,أَبَّهَ يُؤَبِّهُ تَأبِيهاً :- ـه لكذا: فطّنه ونبَّهه إليه؛ أَبَّهه لَلخطر الذي يهدده.
أبت,أبِت َ يَأْبَتُ أَبْتاً :- اليومُ: اشتد حرّه.
أبتر,أَبْتَرَ يُبْتِرُ إِبْتاراً :- ـه اللهُ: جعله عقيماً بلا ذرِّية.
أبث,أََبَثَّ أَبَثَ يُبِثُّ إِبْثاثاً :- ـه السرَّ: أطلعه عليه.
أبجد,أَبْجَدْ : أول الألفاظ التي جمعت فيها حروف الهجاء في اللغة العربية وهي: أَبْجَدْ هَوَّزْ حُطِّي كَلَمُنْ سَعْفَصْ قَرَشَت ثخذ ضظغ، وظلت سائدة إلى أن رتبها نصر بن عاصم الليثي الترتيب المعروف الآن باسم الترتيب الهجائي أو الألفبائي.
أبجر,أَبْجَرَ يُبْجِرُ إِبْجاراً : استغنى بعد فقر؛ أبجر فلان فنسي ماضيه وكاد يطغى.
أبح,أَبَحَّ يُبِحُّ إِبْحاحاً :- ـه: جعل صوته خشناً غَليظاً؛ أبح الطفلَ صياحُه الدائم.
أبحر,أَبْحَرَ يُبْحِرُ إِبْحاراً :- فلان: ركب البحر.
أبخر,أَبْخَرَ يُبْخِرُ إِبْخاراً :- ـه الشيءُ: جعل لفمه رائحة كريهة؛ أبخره المرض في جهازه الهضميّ.
أبد,أَبَدَ يَأْبُدُ أُبُوداً : توحش وانقطع عن الناس.- فلان بالمكان: أقام به ولم يبرح.
أبد,أَبدَ يُؤَبِدُ تََأْبِيداً :- ـه: خلَّده.
أبدأ,أَبْدَأَ يُبْدِىءُ إِبْداءً :- اللّهُ الخلقَ: برأهم وخلقهم أَوَلَمْ يَرَوْا كَيْفَ يُبْدِئُ اللهُ الخَلْقَ ثُمَّ يُعِيدُهُ.ــ: جاء بالبدِيء أي العجيب-- الصبيُّ: نبتت أسنانه بعد سقوطها.- في الأمْرِ وأَعادَ: تكلم فيه مرة أخرى/ ما يُبْدِيءُ وما يُعِيدُ أي لا حيلة له (ما يتكلم ببادِئَةٍ ولا عائِدَةٍ ).
أبدا,أَبَداً : ظرف زمان للمستقبل يستعمل مع الإثبات والنفي ويدل على الاستمرار خَالِدينَ فِيهَا أَبَدا، إِنَّا لَنْ نَدْخُلَها أَبَداً.
إبداع,إِبْداعٌ : مصـ.-: ابتكار؛ الإبداع شيء غير نمطيّ ولا مكرر.-: تعبير فلسفيّ يعني إيجاد الشيء من عدم.
أبدر,أَبْدَرَ يُبْدِرُ إِبْداراً :- الثمرُ: احمرَّ وبدأ نضجه.- الرجلُ: سرى في ليلة البدر.- الوصيُّ في مال اليتيم: أكله قبل غيره.
أبدع,أَبْدَعَ يُبْدِعُ إِبْداعاً : ابتكر؛ كلّ مدرسة جديدة في الرسم تبدع أُسلوباً حديثاً.- الأمرَ وفيه: أتقن صنعه وأجاد فيه؛ أبدع في حفر النحاس وزخرفته.- ت حُجَّتُهُ: بطلت/ أبدع بي، أي لم يكن عند حسن ظنّي به.
أبدل,أَبْدَلَ يُبْدِلُ إِبْدالاً :- الشيءَ: غيَّره.- الشيءَ بغيره ومنه: اتخذه عوضاً عنه؛ كيف تُبدلون الخبيثَ بالطيّب؟
أبدى,أَبْدَى يُبْدِي أَبْدِ إِبْداءَ [بدو].- الأمرَ وبه: أظهره؛ أبدى الشاري إعجابه بالبضاعة.
أبذأ,أبْذَأَ يُبْذِيءُ إِبْذاءً : فحش وجاء بالفاحشة؛ لا تُبْذِىء في كلامك.
أبذى,أَبْذَى يُبْذِي أَبْذِ إِبْذاءً [بذي]: جاء بالفحش.
